programme;transaction;tp
PAAUSV02;AU02;gestionDemandeAnnulation
PAAUSV04;AU04;miseAJourCCPI
PAAUSV06;AU06;miseAJourCLEU
PAAUSV09;AU09;miseAJourLienURAURA
PAAUSV11;AU11;miseAJourPVAL
PAAUSV14;AU14;rechercheDetailCLEU
PAAUSV15;AU15;rechercheDetailLienURAURA
PAAUSV17;AU17;rechercheLiensURAURA
PAAUSV18;AU18;recherchePVALCVAL
PAAUSV19;AU19;rechercheSuiviDemande
PAAUSV21;AU21;rechercheTableReference
PAAUSV23;AU23;rechercheDerniereDateFlux
PAAUSV25;AU25;rechercheInstitutionGroupe
PAAUSV27;AU27;rechercheDetailMouvement
PAAUSV46;AU46;declenchementDesMisesAJourDAdherentDifferees
PAAUSV47;AU47;miseAJourSuiviINSEE
PAAUSV48;AU48;rechercheDetailMouvementsINSEEAURA
PAAUSV49;AU49;rechercheLotsRecus
PAAUSV50;AU50;rechercheMouvementsINSEEAURA
PAAUSV51;AU51;rechercheStatistiquesReception
PAAUSV52;AU52;gestionDemandeDeTableDeReference
PAAUSV54;AU54;miseAJourCVAL
PAAUSV57;AU57;correctionRecyclage
PAAUSV58;AU58;correctionRejet
PAAUSV59;AU59;gestionForcage
PAAUSV60;AU60;gestionDemandeRenumerotationContrat
PAAUSV61;AU61;miseAJourAnomalieInterne
PAAUSV62;AU62;rechercheAnomaliesInternes
PAAUSV63;AU63;rechercheDoublesAdhesions
PAAUSV64;AU64;rechercheDesMouvementsDUnLot
PAAUSV65;AU65;rechercheMouvementsAdherent
PAAUSV66;AU66;rechercheDesMouvementsRejetes
PAAUSV67;AU67;rechercheDesRecyclages
PAAUSV68;AU68;rechercheDesStatistiquesDEmission
PAAUSV69;AU69;rechercheDetailAnomalieInterne
PAAUSV70;AU70;rechercheDetailRecyclage
PAAUSV71;AU71;rechercheDetailForcage
PAAUSV72;AU72;rechercheDuDetailDUnRejet
PAAUSV73;AU73;rechercheForcages
PAAUSV74;AU74;rechercheLotTransmis
PAAUSV75;AU75;rechercheNotificationDePriseDeContrat
PAAUSV76;AU76;rechercheRenumerotationContrat
PAAUSV77;AU77;rechercheSyntheseCPNCPI
PAAUSVE3;AUE3;rechercheDetailRejetCompetence
PAAUSVE4;AUE4;rechercheRejetsCompetence
PAAUSVE7;AUE7;rechercherContratReferenceAdhesion
PAAUSVG0;AUG0;miseAJourMvtsRappaura
PAAUSVG1;AUG1;rechercheMvtsRappaura
PACOSV04;AO04;restituerSignalitiqueReduiteBAC
PACOSV08;AO08;gereCreerTache
PACOSV09;AO09;consulterParticulariteReglementaire
PACOSV10;AO10;filterContenuDV
PACOSV12;AO12;rechercherListeDomaineValeur
PACOSV14;AO14;restituerTauxDevise
PACOSV18;AO18;rechercherParticulariteReglementaireTierMandataire
PACOSV23;AO23;rechercherCorrespondanceMotifFinEntp
PACOSV24;AO24;restituerDVCodeTypeGestion
PACOSV25;AO25;controlerDVCodeTypeGestion
PACOSV26;AO26;rechercheCycleDeVieBodacc
PACOSV27;AO27;consulterParamEditionCourrierReclam
PACPSV01;ZP01;consulterGarantieCatalogueProduits
PACPSV02;ZP02;consulterGarantieReferencee
PACPSV04;ZP04;consulterContratReference
PACPSV06;ZP06;rechercherCategoriesProfessionnellesReferencees
PACPSV07;ZP07;consulterCategorieProfessionnelleReferencee
PACPSV08;ZP08;rechercherContratsReferences
PACPSV09;ZP09;creerContratReference
PACPSV10;ZP10;rechercherGarantiesReferencees
PACPSV11;ZP11;supprimerCategorieProfessionnelleReferencee
PACPSV12;ZP12;modifierCategorieProfessionnelleReferencee
PACPSV13;ZP13;creerCategorieProfessionnelleReferencee
PACPSV14;ZP14;supprimerContratReference
PACPSV15;ZP15;rechercherConditionsAdhesionReferencees
PACPSV16;ZP16;modifierContratReference
PACPSV17;ZP17;consulterConditionAdhesionReferencee
PACPSV20;ZP20;rechercheDesProduitsReferences
PACPSV21;ZP21;rechercheDetailProduitReference
PACPSV22;ZP22;miseAJourProduitReference
PACPSV24;ZP24;modifierConditionAdhesionReferencee
PACPSV25;ZP25;gestionSecteurActivite
PACPSV26;ZP26;rechercheDesDepartements
PACPSV27;ZP27;gestionParticulariteGeographique
PACPSV28;ZP28;rechercheConditionsAdhesion
PACPSV29;ZP29;rechercheDetailConditionAdhesion
PACPSV30;ZP30;rechercheAmendement
PACPSV31;ZP31;creerConditionsAdhesionReferencees
PACPSV32;ZP32;supprimerConditionAdhesionReferencee
PACPSV41;ZP41;rechercheGarantiesStandard
PACPSV42;ZP42;rechercheDetailConditionsInterlocutionProduit
PACPSV43;ZP43;rechercheRattachementGaranties
PACPSV44;ZP44;gestionConditionAdhesion
PACPSV45;ZP45;gestionAmendement
PACPSV46;ZP46;majRattachementAdhesion
PACPSV47;ZP47;majConditionInterlocutionProduit
PACPSV48;ZP48;rechercheSuiviCatalogueProduits
PACPSV49;ZP49;initialisationDateSelectionEvenement
PACPSV51;ZP51;rechercherParametrageEdition
PACPSV53;ZP53;rechercherTauxAppel
PACPSV55;ZP55;supprimerGarantieReferencee
PACPSV56;ZP56;listerReglesCalcul
PACPSV58;ZP58;mettreAJourRelevementTauxPlanifie
PACPSV59;ZP59;consulterOperationRelevementTauxPlanifie
PACPSV62;ZP62;rechercherParametrageEditionGarantie
PACPSV63;ZP63;consulterDetailOperationRelevementTauxPlanifie
PACPSV64;ZP64;consulterCompteRenduListeProduits
PACPSV65;ZP65;consulterStatistiquesRelevementTaux
PACPSV66;ZP66;rechercherAdherentSelonCriteresRelevementTaux
PACPSV69;ZP69;rechercherProduitsIndividuelReferences
PACPSV72;ZP72;rechercherGarantieAdhesion
PACPSV73;ZP73;modifierGarantieReferencee
PACPSV74;ZP74;creerGarantieReferencee
PACPSV77;ZP77;modifierParametrageEdition
PAGASV07;GA07;rechercherMulticritereAdhesionCollective
PAGASV08;GA08;rechercherMulticritereAdhesionIndividuelle
PAGASV09;GA09;rechercherCategorieProfessionnelleContratAdhesion
PAGASV10;GA10;modifierPeriodeCategorieContrat
PAGASV11;GA11;rechercherCARAdhesion
PAGASV12;GA12;ajouterGarantieAdhesion
PAGASV14;GA14;rechercherCategorieContratAAmender
PAGASV15;GA15;rechercherCARAAmender
PAGASV16;GA16;rechercherDonneesContratCatProAdhesion
PAGASV17;GA17;consulterInstitutionOrigineContrat
PAGASV18;GA18;modifierContratCategorieInstitution
PAGASV19;GA19;majContratCategorieInstitution
PAGASV20;GA20;ajouterCotisation
PAGASV22;GA22;rechercherRistourneSurprime
PAGASV23;GA23;gererPeriodesRistourneSurprime
PAGASV24;GA24;ajouterRistourneSurprime
PAGASV26;GA26;rechercherTauxValidation
PAGASV31;GA31;gererModificationTauxValidation
PAGASV32;GA32;modifierPeriodeGarantie
PAGASV33;GA33;supprimerGarantie
PAGASV34;GA34;supprimerCategorieContrat
PAGASV35;GA35;modifierAdhesion
PAGASV55;GA55;rechercherAdhesionActive
PAGASV60;GA60;consulterConditionAdhesion
PAGASV62;GA62;consulterSyntheseAdhesion
PAGASV63;GA63;consulterAdhesion/consulterAdhesionPourGestion
PAGASV64;GA64;rechercherModaliteAdhesion
PAGASV65;GA65;consulterBlocNotes
PAGASV70;GA70;rechercherSuiviAdhesion
PAGASV71;GA71;rechercherDonneesDestinataireRecapitulatif
PAGASV72;GA72;rechercherDonneesRecapitulatif
PAGASV77;GA77;creerAdhesionCollective
PAGASV79;GA79;creerConditionAdhesionCollective
PAGASV81;GA81;rechercherAdhesion
PAGASV87;GA87;rechercherConditionAdhesionProduit
PAGASV88;GA88;consulterOptionInterlocutionAdhesion
PAGASV89;GA89;calculerAutoConditionInterlocution
PAGASV90;GA90;creerConditionInterlocutionCollective
PAGASV94;GA94;rechercherCARCatalogueProduits
PAGASV95;GA95;reorganiserPeriodesGarantie
PAGASV96;GA96;creerContratCategorieProfessionnelle
PAGASV98;GA98;consulterPeriodesGarantie
PAGASV99;GA99;rechercherCategorieContratAMettreAJour
PAGASVA0;GAA0;mettreEnGestionAdhesion
PAGASVA1;GAA1;rechercherLiensInterAdhesion
PAGASVA2;GAA2;rechercherLiensInterPopulation
PAGASVA3;GAA3;mettreAJourLiensInterAdhesion
PAGASVA4;GAA4;mettreAJourLiensInterPopulation
PAGASVA5;GAA5;calculerImpactSuppressionCategorieContrat
PAGASVA6;GAA6;rechercherPeriodesGarantieAAmender
PAGASVA7;GAA7;consulterLienPopulationEtablissement
PAGASVA8;GAA8;consulterParametrageSommeil
PAGASVA9;GAA9;lancerSelectionSommeil
PAGASVB1;GAB1;consulterListeAdherentEligibleSommeil
PAGASVB2;GAB2;lancerSommeilMasse
PAGASVB4;GAB4;consulterSuiviSommeil
PAGASVB5;GAB5;lancerSommeilUnitaire
PAGASVB7;GAB7;rechercherListeRetourEnquete
PAGASVB8;GAB8;modifierEnqueteSommeil
PAGASVB9;GAB9;forcerSuppressionLienInterAdhesionInterPopulationOut
PAGASVC0;GAC0;creerSuiviEvenementCycleVieEntreprise
PAGASVC1;GAC1;editerCertificatAdhesion
PAGASVC2;GAC2;rechercherMotifsFin
PAGASVCD;GACD;creerTache
PAGASVCG;GACG;editerRecapitulatifConditionsAdhesion
PAGASVCJ;GACJ;rechercherAdhesionAdherent
PAGASVCL;GACL;rechercherFLuxAIA
PAGASVCM;GACM;miseAJourFluxAIA
PAGASVCN;GACN;controlerDemandeAdhesionAIA
PAGASVCO;GACO;editerConfirmationAIA
PAGASVCT;GACT;impactEntreprise
PAGASVCX;GACX;controleCoherenceGaranties
PAGASVCY;GACY;creerAdhesionIndividuelle
PAGASVCZ;GACZ;creerConditionAdhesionIndividuelle
PAGASVD0;GAD0;rechercherNombreJour
PAGASVD6;GAD6;faisabiliteModifidificationConditionAdhesion
PAGASVD7;GAD7;editerCourrierSimple
PAGASVD9;GAD9;miseAJourFluxAIAChapeau
PAGASVDB;GADB;calculStockAIA
PAGASVDD;GADD;gererLienAdhesionEmployeur
PAGASVDE;GADE;modifierAdhesionIndividuelle
PAGASVDI;GADI;consulterSalaireAnnuelExpatriation
PAGASVDJ;GADJ;consulterOptionInterlocutionAdhesionIndividuelle
PAGASVDK;GADK;controlerCoherenceOperationJuridique
PAGASVDL;GADL;creerConditionInterlocutionStandardAdhesionNouvelle
PAGASVDN;GADN;restituerListeEtablissementsAvecAdresse
PAGASVDO;GADO;restituerListeAdhesionsLiees
PAGASVDP;GADP;rechercherCategorieProfessionnelleContratReference
PAGASVDS;GADS;restituerTousLiensInterlocutionAdhesion
PAGASVDU;GADU;listeInsitutionOrigineAdhesion
PAGASVDW;GADW;consulterParametrageRecapitulatif
PAGASVE0;GAE0;supprimerOperationJuridique
PAGASVF1;GAF1;consulterEvenementBodacc
PAGASVF5;GAF5;majSuiviBodacc
PAGASVF6;GAF6;rechercherEvenementBodacc
PAGASVG0;GAG0;restituerListeAdhsPourAdhrOut
PAGASVG3;GAG3;consulterAnoHistorisee
PAGASVG4;GAG4;consulterTauxHistorise
PAUESV07;UE07;consulterModalitesUECompte
PAUESV40;UE40;listeDetailleePopulationsSurAdhesion
PAUESV41;UE41;historiqueModalitesPopulation
PAUESV42;UE42;historiqueEffectifPopulation
PAUESV43;UE43;historiqueSeuilsArticles36
PAUESV44;UE44;historiqueUEDPopulation
PAUESV46;UE46;historiqueRattachementsEtablissementsPopulation
PAUESV47;UE47;rechercherConventionsCollectives
PAUESV48;UE48;mAJEffectifPopulation
PAUESV51;UE51;mAJSeuilsArticle36
PAUESV53;UE53;consulterBandeauBAC
PAUESV57;UE57;creerLienInterlocution
PAUESV66;UE66;modifierUE
PAUESV67;UE67;majLienMandataireUE
PAUESV70;UE70;rechercherLiensInterlocution
PAUESV71;UE71;rechercherLiensMandataireUE
PAUESV74;UE74;rechercherSousEnsembleUE
PAUESV75;UE75;consulterModalitesUEDN
PAUESV79;UE79;listeDetailleeUEDNSurAdhesion
PAUESV81;UE81;rechercherLienEtablissement
PAUESV82;UE82;mAJModalitesUEDN
PAUESV87;UE87;rechercherModalitesUEMandataire
PAUESV88;UE88;modifierSousEnsembleUE
PAUESV89;UE89;majModalitesUEMandataire
PAUESV92;UE92;listeDetailleeUECompteSurAdhesion
PAUESV93;UE93;mAJModalitesUECompte
PAUESV95;UE95;creerLienMandataireUE
PAUESV96;UE96;modifierLienMandataireUE
PAUESV99;UE99;modifierLibellePopulation
PAUESVA0;UEA0;rechercherEtablissementsNonAffectes
PAUESVA3;UEA3;mAJManuelleConditionsInterlocution
PAUESVA4;UEA4;consulterConditionsInterlocution
PAUESVA5;UEA5;consulterObjetInterlocution
PAUESVA6;UEA6;modifierStructureInterlocutionStandard
PAUESVAD;UEAD;creerAutomatiquementConditionsInterlocution
PAUESVAH;UEAH;initialisationStructureInterlocutionALaCarte
PAUESVAI;UEAI;consulterEnTeteSeuilArticle36
PAUESVAJ;UEAJ;priseEnCompteMiseAJourEtablissement
PAUESVAL;SA01;modificationPeriodeInterlocution
PAUESVAM;UEAM;controleFaisabiliteTraitement
PAUESVAN;UEAN;prepaAnnulationConditionsInterlocution
PAUESVAO;UEAO;restituerDerniereModifcationStructureInterloction
PAUESVAU;UEAU;restituerIndicateursPopulation
PAUESVB5;UEB5;listerEtablissementsUE
PAUESVB7;UEB7;gererModalitesPopulations
PAUESVB8;UEB8;modifierLienInterlocution
PAUESVB9;UEB9;initialisationIndicateursPopulation
PAUESVC1;UEC1;miseAJourStructureConditionInterlocutionAjoutCatPro
PAUESVC2;UEC2;annulEtMiseAJourStructureConditionInterlocutionAuto
PAUESVC3;UEC3;annulEtMiseAJourStructureConditionInterlocutionManuel
PAUESVC4;UEC4;editerRecapitulatifConditionInterlocution
PAUESVC6;UEC6;consulterUE
PAUESVCB;UECB;annulationDernieresConditionsInterlocution
PAUESVCG;UECG;creerConditionInterlocutionIndividuelle
PAUESVCJ;UECJ;majStructureConditionInterlocutionManuelleAjoutCatPro
PAUESVCK;UECK;rechercherExistenceRattachementSousEnsembleUE
PAUESVCQ;UECQ;initialisationStructureInterlocutionALaCarteExistante
PAUESVCU;UECU;rechercherEtablissementsNonAffectesCAR
PAUESVCW;UECW;controleFaisabiliteGestionStructureInterlocution
PAUESVD3;UED3;rechercherEtablissementsADate
PAUESVD4;UED4;rechercherDateFermeture
PAUESVD5;UED5;gereRataEtabPopALaCarte
PAUESVD6;UED6;gerePopALaCarte
PAUESVD7;UED7;gereRataPopALaCarte
PAUESVD8;UED8;gereUedALaCarte
PAUESVD9;UED9;gereUedUecALaCarte
PAUESVDA;UEDA;gereUecALaCarte
PAUESVDB;UEDB;purgeTableTempALaCarte
PAUESVDC;UEDC;gereElemsClasArticle36
PB00SV03;0003;restituerInformationObjetGestion
PB00SV05;0005;restituerInformationAuteur
PB00SV07;0007;rechercherTypeObjetGestion
PB00SV15;0015;lectureParametreTechnique
PB00SV21;0021;restituerDetailObjetGestion
PBCTSV02;ZT02;recupererJeuParametresActifs
PBGESV01;GE01;posterCRE
PBGESV16;GE16;rechercherCRE
PBGESV17;GE17;rechercherCRENotifie
PBGESV24;GE24;listerNatureTypeEvenement
PBGHSV05;GH05;listerRessourcesGraphiquesApplicationUtilisateur
PBGHSV11;GH11;verifierPresenceRessource
PBGHSV15;GH15;verifierHabilitationFonction
PBGHSV17;SB02;verifierDroitAccesObjetProtege
PBGHSV18;GH18;verifierHabilitationFonctionTache
PBGHSV19;GH19;verifierHabilitationSurFonctionEtContexte
PBGHSV20;GH20;verifierPresenceRessourceLong
PBGHSV22;GH22;listerFonctionsApplicationUtilisateur
PBGHSV25;GH25;listerApplicationsSurCriteres
PBGHSV26;GH26;listerFonctionsSurCriteres
PBGHSV28;GH28;restituerTypeActeurHabilitations
PBGHSV29;GH29;fermerDroitsUtilisateur
PBGHSV31;GH31;verifierHabilitationObjetGestion
PBGHSV34;GH34;listerProfilsUsageSurCriteres
PBGHSV35;GH35;listerRessourcesSurCriteres
PBGHSV37;GH37;supprimerProfilUsage
PBGHSV38;GH38;listerProfilsMetierSurCriteres
PBGHSV39;GH39;listerEGPourHabilitations
PBGHSV40;GH40;listerUtilisateursPourHabilitations
PBGHSV43;GH43;creerEnregProtectionAdherent
PBGHSV44;GH44;listerEnregsProtectionAdherent
PBGHSV50;GH50;supprimerProfilMetier
PBGHSV51;GH51;creerModifierDetailProfilUsage
PBGHSV52;GH52;restituerLiensProfilUsageRessources
PBGHSV53;GH53;restituerLiensProfilUsageFonction
PBGHSV54;GH54;creerModifierLiensProfilUsageFonction
PBGHSV55;GH55;creerModifierLiensProfilUsageRessource
PBGHSV56;GH56;restituerLiensProfilMetierProfilUsage
PBGHSV57;GH57;creerModifierDetailProfilMetier
PBGHSV58;GH58;creerModifierLiensProfilMetierProfilUsage
PBGHSV59;GH59;restituerLiensProfilMetierEntiteGestion
PBGHSV60;GH60;creerModifierLiensProfilMetierEntiteGestion
PBGHSV61;GH61;restituerLiensProfilMetierUtilisateur
PBGHSV62;GH62;creerModifierLiensProfilMetierUtilisateur
PBGHSV63;GH63;restituerLiensDAOPUtilisateur
PBGHSV64;GH64;creerModifierLiensDAOPUtilisateur
PBGHSV75;GH75;listerRessourcesMetierApplicationUtilisateur
PBGHSV76;GH76;restituerDetailProfilUsage
PBGHSV77;GH77;restituerDetailProfilMetier
PBGHSV78;GH78;restituerListeBriques
PBGHSV79;GH79;restituerListeQuartiers
PBGHSV81;GH81;cartographierApplications
PBGHSV82;GH82;cartographierPU
PBGHSV83;GH83;cartographierPM
PBGHSV84;GH84;cartographierUtilisateurs
PBGHSV85;GH85;cartographierDAOP
PBGHSV86;GH86;cartographierEG
PBGHSV87;GH87;verifierHabilitationsSurFonctionEtObjets
PBGHSV88;GH88;verifierHabilitationsSurFonctionEtUnObjet
PBGOSV02;GO02;consulterAppartenanceUserAEG
PBGOSV04;GO04;controlerExistenceEG
PBGOSV05;GO05;restituerListeDomainesActivite
PBGOSV06;GO06;restituerListeDesEG
PBGOSV07;GO07;restituerEGPourRoleUtilisateur
PBGOSV14;GO14;fermerLienUserEG
PBGOSV16;GO16;restituerUtilisateurPourRoleEG
PBGOSV17;GO17;restituerListeEGNonRattachees
PBGOSV18;GO18;creerDomaineActivite
PBGOSV20;GO20;initialiserMajDomaineActivite
PBGOSV21;GO21;mettreAJourDomaineActivite
PBGOSV22;GO22;creerEG
PBGOSV24;GO24;initialiserRattachUserAEG
PBGOSV26;GO26;creerRattachementUsersAEG
PBGOSV28;SB17;initialiserListeSelectionEG
PBGOSV29;GO29;initialiserMAJEG
PBGOSV30;GO30;initialiserHierarchieEG
PBGOSV32;GO32;mettreAJourEG
PBGOSV33;GO33;mettreAJourHierarchie
PBGOSV34;GO34;restituerListeEGValides
PBGOSV35;SB23;mettreAJourRole
PBGOSV36;GO36;restituerListeTypesRole
PBGOSV38;GO38;mettreAJourInfoUser
PBGOSV39;GO39;rechercherUtilisateursSelonCriteres
PBGOSV40;SB27;restituerCoordonnees
PBGOSV41;GO41;restituerListeEGPourDomaine
PBGOSV42;GO42;initialiserMajRole
PBGOSV44;GO44;initialiserConsultationEG
PBGOSV47;GO47;initialiserEGRattacheAUser
PBGOSV48;GO48;restituerListeCoordonnees
PBGOSV49;GO49;consulterAdresse
PBGOSV50;GO50;mettreAJourParamInterlocution
PBGOSV51;GO51;restituerIdTechPourIdFoncOut
PBGOSV53;GO53;restituerListeParamInterlocution
PBGOSV55;GO55;restituerEGPourUser
PBGOSV56;GO56;restituerEGSousTraiteesCorbeille
PBGOSV57;SB77;restituerGroupeInstallation 
PBGOSV59;GO59;mettreAJourInterim
PBGOSV60;GO60;restituerInterims
PBGOSV61;GO61;restituerTitulairesPourRemplacant
PBGOSV62;GO62;restituerListeModeleDocument
PBGPSV01;GP01;attribuerPortefeuilleAvecCriteres
PBGPSV02;GP02;attribuerPortefeuilleSansCriteres
PBGPSV07;SB43;controlerPortefeuillePourUser
PBGPSV09;SB44;restituerStructureRegle
PBGPSV10;SB45;rechercherPortefeuillesPourDomaine
PBGPSV11;SB46;initialiserConsultationRegle
PBGPSV14;GP14;creerRegle
PBGPSV15;SB47;initialiserValorisationRegle
PBGPSV16;GP16;initialiserDateDebutValiditeRegle
PBGPSV17;GP17;initialiserDuplicationRegle
PBGPSV19;GP19;controlerEGEstEGParDefaut
PBGPSV20;GP20;initialiserVersionRegle
PBGPSV22;GP22;modifierRegle
PBGPSV24;GP24;restituerListeCriteres
PBGPSV25;GP25;restituerListeRegles
PBGPSV26;GP26;valoriserRegle
PBGPSV27;GP27;creerModifierValorisation
PBGPSV29;#N/A;cloturerEGDefaut
PBGPSV30;#N/A;initialiserStructureRegle
PBGPSV31;GP31;creerEGDefautPourDomaine
PBGPSV32;GP32;initialiserListeDAEtEGDefaut
PBGPSV33;GP33;modifierEGDefautPourDomaine
PBGPSV34;GP34;restituerHistoEGDefautPourDomaine
PBGPSV35;GP35;consulterPortefeuilles
PBGPSV36;GP36;rechercherPortefeuille
PBGPSV40;GP40;restituerValorisationItem
PBGPSV45;GP45;supprimerPortefeuille
PBGPSV46;GP46;controlerImpactModificationCritere
PBGPSV47;GP47;forcerPortefeuille
PBGPSV52;GP52;controlerValorisationRegle
PBGPSV53;GP53;dupliquerValoRegle
PBGPSV56;GP56;controlerPortefeuilles
PBGPSV58;GP58;rechercherPortefeuillesMultiCriteres
PBGSSV29;GS29;existenceUtilisateur
PBGSSV30;GS30;listerUtilisateurs
PBGSSV31;GS31;recupererInformationsListeUtilisateur
PBGSSV32;GS32;recupererInformationsUtilisateur
PBGSSV33;GS33;recupererInformationsUtilisateurConnecte
PBGSSV34;GS34;recupererInformationsUtilisateur
PBGSSV34;GS34;recupererInformationsUtilisateur
PBGSSV34;GS34;recupererInformationsUtilisateur
PBGSSV35;GS35;listerUtilisateurs
PBGSSV36;SB48;recupererInformationsListeUtilisateur
PBGSSV38;GS38;listerUtilisateurs
PBGSSV39;GS39;creerUtilisateur
PBGSSV40;GS40;fermerUtilisateur
PBGSSV41;GS41;modifierUtilisateur
PBGSSV42;GS42;reactiverUtilisateur
PBGSSV43;GS43;supprimerUtilisateur
PBGSSV44;GS44;suspendreUtilisateur
PBGSSV45;GS45;recupererUtilisateurParLogin/webServiceConsulterUtilisateur
PBGSSV46;SB78;recupererInformationsUtilisateurParLoginDateEffet
PBGSSV47;#N/A;importerUtilisateur
PBGSSV49;GS49;webServiceCreerUtilisateur
PBGSSV50;GS50;webServiceFermerUtilisateur
PBGSSV51;GS51;webServiceModifierUtilisateur
PBGSSV52;GS52;webServiceReactiverUtilisateur
PBGSSV54;GS54;webServiceSuspendreUtilisateur
PBGSSV55;GS55;lireHistoriqueLienUtilisateurEntiteGestion
PBGTSV01;GT01;creerTache
PBGTSV02;GT02;modifierTache
PBGTSV06;GT06;restituerDetailsTache
PBGTSV17;GT17;reaffecterTache
PBGTSV18;GT18;compterTaches
PBGTSV19;GT19;rechercherTaches
PBGTSV20;GT20;compterTachesIA
PBGTSV22;GT22;rechercherTachesNonTraitees
PBGTSV24;GT24;listerTaches
PBGTSV27;GT27;rechercherEtReaffecterTachesPourDemandeTravail
PBPASV01;PA01;fermerFonction
PBPASV02;PA02;sauvegarderLancementFonction
PBPASV05;PA05;restituerProprietesEtParametresFonction
PBPASV06;PA06;restituerArborescenceFonctionsUR
PBPASV10;PA10;verifierValiditeCodeExpert
PBPASV11;PA11;creerContexteInterFonction
PBPASV13;PA13;restituerHistoriqueContextesInterFonction
PBPASV14;PA14;supprimerHistoriqueContextesInterFonction
PBPASV15;PA15;purgerHistoriqueLancements
PBPASV16;PA16;restituerHistoriqueLancementsFonctions
PBPASV17;PA17;supprimerHistoriqueLancementsFonctions
PBPASV18;PA18;mettreAJourDateCreationContexte
PBPASV19;PA19;restituerConsignesEntiteGestion
PBPASV20;PA20;restituerConsignesResponsableEG
PBPASV21;PA21;creerConsigne
PBPASV22;PA22;mettreAJourConsigne
PBPASV23;PA23;supprimerConsignes
PBPASV27;PA27;restituerArborescenceFonctionsURProprietesTechniquesEtParametres
PBPASV29;PA29;creerFavoriFonction
PBPASV30;PA30;restituerFavorisFonctions
PBPASV31;PA31;sauvegarderFavorisFonctions
PBPASV32;SB49;supprimerFavorisFonctions
PBPASV33;PA33;creerFavoriContexteInterFonction
PBPASV34;PA34;restituerFavorisContextesInterFonction
PBPASV35;SB50;supprimerFavorisContextesInterFonction
PBPASV36;PA36;sauvegarderFavorisContextesInterFonction
PBPASV40;PA40;sauvegarderListeFonctionsLancees
PBPASV41;PA41;sauvegarderListeContextesInterFonctions
PBPASV42;PA42;mettreAJourDateCreationListeContextes
PBPASV43;PA43;compterTachesIA
PBPASV45;PA45;purgerHistoriqueContextesInterFonction
PCADMT01;G203;gestionDeclarationRechercherHistoriqueInformationsDeclaration
PCADMT08;G224;rechercheDecompte
PCADMT09;G225;validationDecompte
PCADMT10;G247;marquageNpai
PCADMT11;G253;updateUserRecyclages
PCADMT12;G352;rechercherDemandeAppelALaDemandeNonTraitee
PCADMT13;G353;supprimerDemandeAppelALaDemandeNonTraitee
PCADMT14;G354;rechercherPopulationSousCompte
PCADMT15;G355;creerAppelALaDemande
PCADMT16;G359;gestionDeclarationCalculerInformationsInstitution
PCADMT17;G401;gestionDeclarationEnregistrerDAJANT
PCADMT18;G402;gestionDeclarationRechercherDAJANT
PCADMT19;G417;annulerDocument
PCBTMT01;G599;informationsHabilitationBST
PCBTMT02;G598;transcodageOgBST
PCFDMT01;G382;rechercheAnomalieIntegration
PCFDMT02;G383;relanceAnomalieIntegration
PCFDMT03;G375;validationModificationFluxDematerrialisee
PCFDMT05;G376;exportFluxDematerrialisee
